County,countyCode,incidenceRate,avgAnnCount,recentTrend,5YearTrend
"Union County, Florida(6,10)",12125,1206.9,214,stable,1.7
"Williamsburg City, Virginia(6,10)",51830,1014.2,135,stable,44.6
"Lexington City, Virginia(6,10)",51678,755,49,stable,36.7
"Charlottesville City, Virginia(6,10)",51540,718.9,250,stable,18.1
"Covington City, Virginia(6,10)",51580,652,51,rising,46.8
"Petersburg City, Virginia(6,10)",51730,651.3,249,stable,11.3
"Bracken County, Kentucky(7,9)",21023,639.7,61,stable,3
"Powell County, Kentucky(7,9)",21197,630.4,91,stable,4.6
"Loup County, Nebraska(6,10)",31115,613.8,7,*,*
"Waynesboro City, Virginia(6,10)",51820,596.9,157,stable,9.8
"Bedford City, Virginia(6,10)",51515,596.6,51,stable,21.3
"Harrisonburg City, Virginia(6,10)",51660,591.1,190,stable,10.7
"Clay County, West Virginia(6,10)",54015,591,70,stable,-3.6
"Sherman County, Oregon(6,10)",41055,587.4,16,stable,-0.5
"Musselshell County, Montana(6,10)",30065,587,39,stable,-6.5
"Iberville Parish, Louisiana(7,9)",22047,586.2,211,stable,-0.8
"Sargent County, North Dakota(6,10)",38081,579.7,31,stable,-9.9
"Perry County, Kentucky(7,9)",21193,579.2,192,stable,0.5
"Mason County, Kentucky(7,9)",21161,578.9,121,stable,1.4
"Livingston County, Kentucky(7,9)",21139,578.6,78,stable,-4.1
"Buena Vista City, Virginia(6,10)",51530,578.2,46,stable,7.6
"Wyoming County, New York(6,10)",36121,577.4,281,stable,-4.4
"Kingsbury County, South Dakota(6,10)",46077,577,45,stable,3.3
"Meagher County, Montana(6,10)",30059,573.8,18,stable,8.3
"Nantucket County, Massachusetts(6,10)",25019,572.8,64,stable,-7.1
"Vilas County, Wisconsin(6,10)",55125,572.8,218,stable,-3
"Clay County, Kentucky(7,9)",21051,572.1,131,stable,2
"East Feliciana Parish, Louisiana(7,9)",22037,570.8,135,stable,-1.3
"Wolfe County, Kentucky(7,9)",21237,570.6,50,stable,-2.8
"Fredericksburg City, Virginia(6,10)",51630,566.3,120,stable,3.9
"Lake and Peninsula Borough, Alaska(6,10)",2164,564.6,6,*,*
"Henry County, Kentucky(7,9)",21103,564.5,104,stable,-5.9
"Bath County, Kentucky(7,9)",21011,564.2,79,stable,-3.5
"Simpson County, Kentucky(7,9)",21213,563.4,114,stable,-2.7
"Cumberland County, Kentucky(7,9)",21057,562.7,53,stable,-2
"Yalobusha County, Mississippi(6,10)",28161,561.9,90,stable,4.2
"Jackson County, Kentucky(7,9)",21109,561.4,88,stable,-1.2
"Humphreys County, Mississippi(6,10)",28053,560.9,55,stable,-2.7
"Knox County, Kentucky(7,9)",21121,560.5,209,falling,-7.2
"Cameron County, Pennsylvania(6,10)",42023,560.4,43,stable,-0.5
"Cape May County, New Jersey(7,8)",34009,559.1,847,stable,-0.1
"Torrance County, New Mexico(7,8)",35057,558.5,108,rising,17.1
"Leslie County, Kentucky(7,9)",21131,558.3,76,stable,2.5
"Dewey County, South Dakota(6,10)",46041,555.7,25,stable,2.8
"Perry County, Alabama(6,10)",1105,555.6,70,stable,-7.1
"Magoffin County, Kentucky(7,9)",21153,554.7,81,stable,0.4
"Holmes County, Mississippi(6,10)",28051,554.1,110,stable,-2.3
